,Date,VidoeID,ad
0,2017-03-08,uOTu1cJ9WWw,1
1,2017-03-07,r0yDI5ggI-o,1
2,2017-03-02,LmOQaFE4wKY,1
3,2017-02-19,4YZgOegQ1XA,0
4,2017-02-19,Xt1v5lOYSMw,0
5,2017-02-19,Q2UDF9e2K5s,0
6,2017-02-19,kyyojZ5zjmU,0
7,2017-02-19,qiN9LdQ16XU,0
8,2017-01-31,0BCg4IIRr6g,1
9,2017-01-13,Uawb2XX1PRI,0
10,2017-01-05,XjdX3TB33Ho,0
11,2017-01-03,sYH89PX_uuM,0
12,2016-12-21,Fm59MLQArSE,1
13,2016-12-21,BdE42Zx5U-4,1
14,2016-12-21,kTkIdeJnxSs,1
15,2016-12-19,io0wIDehhQY,0
16,2016-12-19,vQr3wxAM4cE,0
17,2016-12-19,N8tgFfjOCFo,0
18,2016-12-19,2YWX89Sjx_g,0
19,2016-12-19,wmhFACsfh-g,0
20,2016-12-19,i5Bja9deMqM,0
21,2016-12-09,FszwigcOOX0,1
22,2016-11-30,OOztj2vvPpA,0
23,2016-10-24,QGj2plilMWE,1
24,2016-10-24,Llnn_Aw0OJQ,1
25,2016-10-24,Q9LquSRlaP0,1
26,2016-10-05,opELJCAFsX0,0
27,2016-10-04,p9zXCL-Ybdc,1
28,2016-09-30,J_UW6rdZn7A,0
29,2016-09-26,BgG9rcLQARk,0
30,2016-09-21,qaI7enTvN6E,0
31,2016-09-20,EeQh1MU6_J8,0
32,2016-09-20,RPb5ETuPT7w,0
33,2016-09-20,xEqjmVk2xUk,0
34,2016-09-02,qgEtdqHqYPE,0
35,2016-09-02,WTq5E2uayn0,0
36,2016-09-02,TDyz64lsiOY,0
37,2016-06-28,z5JWQeqDvbI,1
38,2016-06-26,WB4h9yrvEvE,1
39,2016-06-24,Dcs2nW3LQU8,0
40,2016-06-24,2NgDh6I-248,0
41,2016-06-24,IOYvtxC3w1o,0
42,2016-06-24,BPhQEqkbt_I,0
43,2016-06-24,28x2fKZyxgI,0
44,2016-06-24,mLIIkuf5xM4,0
45,2016-06-24,TE6Mq6FxMnM,0
46,2016-06-24,3rWUBH5206w,0
47,2016-06-24,1-679FO1v7s,0
48,2016-06-24,KX_I0qFOcUs,0
49,2016-06-24,26Axl8wYGL0,0
50,2016-06-24,dIw8P-AABEs,0
51,2016-06-24,zGnVJ3aEj0c,0
52,2016-06-24,Hb3flwwNhMI,0
53,2016-06-24,MiRVXXsaYoQ,0
54,2016-05-18,1tsJb7zEBus,0
55,2016-05-02,ognRZo7nAxA,1
56,2016-04-27,cp6sP7EBmyQ,0
57,2016-04-26,MQegr-MfkxY,1
58,2016-04-26,NWURMPkqbWI,0
59,2016-04-26,pbKjoOSOaTA,1
60,2016-04-26,OWHSvAHZn8Q,1
61,2016-04-26,-YNilBoBQGE,1
62,2016-04-26,g9YfifFBvwc,1
63,2016-04-03,eqW337_gRPQ,0
64,2016-03-18,4N1lzzoeP0k,0
65,2016-03-17,6UZq4QvMz34,0
66,2016-03-17,voDX1oXP5UU,0
67,2016-03-17,zDd9n6G4EV4,0
68,2016-03-16,lpuJR-ouRC4,0
69,2016-03-08,tKucZ0WZPZY,0
70,2016-03-03,RHETi0D7AkA,1
71,2016-03-02,tAkDkaUNYVQ,0
72,2016-02-23,fSYAZ4-95jM,1
73,2016-02-10,czeUxX1QBuE,0
74,2016-02-09,ixT1tUurjY0,0
75,2016-02-04,Wem3O8JA8Bw,0
76,2016-01-15,6mnzGZ_3bgc,0
77,2015-12-12,fzkC4GeznwM,0
78,2015-11-24,R1eQov9kETc,0
79,2015-11-18,KEGdNIlLILU,0
80,2015-11-16,lrQedE1JC90,0
81,2015-11-16,Ccn30xoEUyo,1
82,2015-11-16,qVn231kdaKM,1
83,2015-11-16,85oaeKeTGCk,1
84,2015-11-16,uRHbFXx3kOg,1
85,2015-11-16,-qvJK1BhAbA,1
86,2015-10-28,W1-JBn73ygU,0
87,2015-10-26,rquWbvjieWo,0
88,2015-10-26,K4XhP4zKG5M,0
89,2015-10-26,JAonfwPl4m4,0
90,2015-10-19,IeOS7lqUNRI,0
91,2015-10-16,jOsR4rVhJDg,0
92,2015-10-15,z9g40whu2A0,0
93,2015-10-14,OKxfi1JhMuM,0
94,2015-10-14,MzGnpATaWl4,0
95,2015-10-11,DRQ3lcuOWv0,0
96,2015-10-11,0h3fza0mla4,0
97,2015-10-11,vXy6C9pJUOA,1
98,2015-10-11,rG7llUfEKvo,0
99,2015-10-07,k8vPXpk7-cY,1
100,2015-10-07,2pV2hPJITDo,1
101,2015-09-29,SBPcM-4GuwU,0
102,2015-09-29,zxMtXDBgbnU,0
103,2015-09-23,3nO2LmtLB1Y,0
104,2015-09-17,tqu6odzN4K0,0
105,2015-09-16,GQ2TuLh5tCA,0
106,2015-09-16,F-p5uwtV3wM,0
107,2015-09-16,u8y141apgr8,0
108,2015-09-16,Q-FSuDwd_XM,0
109,2015-09-16,Xqqfgh_llM0,0
110,2015-09-11,b3T3taGKO0E,0
111,2015-09-01,ynAEHonhowc,0
112,2015-08-24,jVu8LyT4AlY,0
113,2015-08-24,XPHdn3Xtods,0
114,2015-08-24,LTwo6cxAgE4,0
115,2015-08-24,ufV6KrHhlvE,0
116,2015-08-24,QzgvesCtJoA,0
117,2015-07-02,lh7BevNYOdk,0
118,2015-07-02,5ljGvnlylY0,0
119,2015-07-02,EoHIxe2-_ek,0
120,2015-07-02,Ll9pfKs9kro,0
121,2015-07-02,-35d7kU1dNI,0
122,2015-06-24,6EG-8QChZZo,0
123,2015-06-24,8nblGsn84xc,0
124,2015-06-22,pBwtVZXh3AE,1
125,2015-06-22,oAK1Oq276DQ,0
126,2015-06-18,6gRsP7_JsPc,1
127,2015-06-18,P3HFb4lKIuk,1
128,2015-06-18,n6h9ri-WfMI,1
129,2015-06-18,_VUKSV4z8Pg,1
130,2015-06-18,CGAiANttMDc,0
131,2015-06-10,XCM-xzSI3MU,1
132,2015-06-10,TeubpslqeQ8,1
133,2015-06-10,0IwVNm5n_3M,1
134,2015-06-10,RwtQOgqrAXE,1
135,2015-06-10,pTP_2jEA7_g,1
136,2015-05-26,vkKQ3uS9wno,0
137,2015-05-25,Polf_xUDYOM,0
138,2015-05-22,m4km_M9lo6g,0
139,2015-05-07,2IHvzYDAdu4,0
140,2015-05-07,45q-XTndpNY,0
141,2015-05-07,z85J9EG7gjk,0
142,2015-05-07,2iE-viiiSK4,0
143,2015-05-04,isLoVMMTGY0,0
144,2015-04-23,QcB6b7bhLac,0
145,2015-04-15,4dM2YCaNvLI,0
146,2015-04-15,UZbxClAoKoo,0
147,2015-04-15,iAylAmVkURg,0
148,2015-04-14,cH-eopptyk0,1
149,2015-04-14,u6awaKt3vNI,0
150,2015-04-14,U1YNlRBMsTU,0
151,2015-04-10,7YPGJpMXhvs,0
152,2015-04-10,QDvSxzQolNg,0
153,2015-04-10,Ni9qKQ1-K7c,0
154,2015-04-09,G8s5nyWj5mE,1
155,2015-04-09,UWhyfBy64HA,1
156,2015-04-09,GZPAG8RvEG4,1
157,2015-04-09,lkmIOUSHwPA,1
158,2015-04-05,0nUL6CtHork,0
159,2015-04-04,f1nsozDwaO8,0
160,2015-04-03,hjlA4V9fBUo,0
161,2015-04-02,_njd7IfFPnE,0
162,2015-04-01,_42An3iXyyY,0
163,2015-03-27,u0ntxyDO5UA,1
164,2015-03-26,f1_Vk7BE8IE,0
165,2015-03-26,TCM9gzdjQ74,0
166,2015-03-26,JC3GSDhM_48,0
167,2015-03-26,kbrQDfKIIsk,0
168,2015-03-26,rkKfCoV9DPo,0
169,2015-03-25,gCwpcnOG9Qg,0
170,2015-03-25,Vy43LphqHpg,0
171,2015-03-25,7DBZjiFrrjI,0
172,2015-03-24,Xln1WfiuX4k,0
173,2015-03-20,K2ivBrGni2U,0
174,2015-03-19,_iLT4U06VfU,0
175,2015-03-19,4Zca1DYn4JM,1
176,2015-03-19,6zzLkZxGeYA,1
177,2015-03-19,STUguEDj2E8,1
178,2015-03-19,BpbVy-I_3f4,1
179,2015-03-19,NsEGcHEjzP8,0
180,2015-03-19,gsXjdp28ruM,0
181,2015-03-19,fHZV-G1jbIg,0
182,2015-03-13,FqQ1oqKjh9U,1
183,2015-03-12,yQE-BrHZT0g,0
184,2015-03-12,AVOMVB7r4cc,1
185,2015-03-04,ds9z7Tw4cts,0
186,2015-03-04,6mkcVD-Uzz0,0
187,2015-03-03,8tRrKV0sedY,0
188,2015-03-03,RJzA6G1N2uY,0
189,2015-02-26,bCi2mB7Rtdo,0
190,2015-02-26,f1nrrlUc7WQ,0
191,2015-02-26,WKa0GuAKON0,0
192,2015-02-26,91H8uO-DpUQ,0
193,2015-02-19,Xz1W_ZjNJmU,0
194,2015-02-18,augnoEXh8ns,0
195,2015-02-17,5mWGPVNAJL4,0
196,2015-02-16,yuzkXEFuqlc,0
197,2015-02-16,yNHyW5nDUs8,0
198,2015-02-13,AXR0k362DCg,1
199,2015-02-13,XNhkkXq6WK4,1
200,2015-02-13,C9BVS3CM5Bo,1
201,2015-02-12,hJTgIxG4iAU,0
202,2015-02-12,3a6BeXei4f4,0
203,2015-02-10,0M_FLg8A_j4,0
204,2015-02-06,k9pRJbZzl28,0
205,2015-02-05,TSOXJOoP8GA,0
206,2015-01-30,yOXmSz528jo,0
207,2015-01-23,PS-wyEj_CU4,0
208,2015-01-22,2vsRwiCrxJA,0
209,2015-01-16,E306f8JL-Is,0
210,2015-01-16,mB27GXWGmco,0
211,2015-01-16,D3wDAHNHNvo,0
212,2015-01-16,xKHvNGD9sTg,0
213,2015-01-16,34x5tfJP3Fw,0
214,2015-01-15,E2SSaXnFfeM,0
215,2015-01-15,yZjXFz9_riw,0
216,2015-01-15,aaz9e4UNPOI,0
217,2015-01-15,2oxdGNq9PHY,0
218,2015-01-15,xnoV1kejoag,0
219,2014-11-24,4Pkz8MgzfJg,0
220,2014-11-21,mzCECpBIiNQ,1
221,2014-11-21,hbQMRO1ofI4,1
222,2014-11-21,BFMSWNYFx9s,1
223,2014-11-20,dK1Cajclm8U,0
224,2014-11-19,F4sERiwiWjM,0
225,2014-11-19,rOR2upkKhdQ,0
226,2014-11-06,Vd6aGllU0ls,1
227,2014-11-06,Fq3pDVQf0lU,0
228,2014-11-03,Gy9kpjwf3Aw,0
229,2014-11-03,Qn8iNv4RICQ,0
230,2014-11-03,UAWj3RX1FDA,0
231,2014-11-03,LrPgjxvzFOA,0
232,2014-11-03,8gKowrS4Gxg,0
233,2014-11-03,C6_qcj-hwmc,0
234,2014-11-03,rJFO4EquAWg,0
235,2014-10-28,Y0lLbB1WGPA,0
236,2014-10-23,aqScpgceulg,0
237,2014-09-24,R3CtAV9l1J4,1
238,2014-09-24,1pRTgIJmMJA,1
239,2014-09-23,c4z05C1BC_M,0
240,2014-09-23,G0cILF5Km5E,1
241,2014-09-23,4rqvM6KxAmc,0
242,2014-09-22,KpMc12pHZ4k,1
243,2014-09-09,MKhdMxPHzg8,1
244,2014-09-08,M7TZkHeLvMY,0
245,2014-09-03,kbc59ZfobOc,0
246,2014-09-03,SF6T--1796I,0
247,2014-09-03,Yu7gJKgH-SQ,0
248,2014-09-03,jMDq9aJ5V14,0
249,2014-09-03,VrtMD6UZ9Fo,0
250,2014-09-03,OeTic1WboH4,0
251,2014-09-03,nYlpxw-nK3E,0
252,2014-08-29,dp_sy7lIdz4,0
253,2014-08-14,b35tqgGSz5U,0
254,2014-08-14,M17l_T8UbtI,0
255,2014-08-12,wdsTrtxA204,1
256,2014-08-12,wdlWFk4VihU,1
257,2014-08-04,weS3Iy0XXRM,0
258,2014-07-25,YnHZLIeu2eY,1
259,2014-07-25,TfG2bgzIR_0,1
260,2014-07-03,-8gcdccQO5c,1
261,2014-07-03,BVSUTB2OLoQ,1
262,2014-06-25,wlSCLJ7Rnnc,1
263,2014-06-18,7fGPdPv3Tzg,0
264,2014-06-16,4zzCXVJpegw,0
265,2014-06-12,QNA9s_NXfNY,0
266,2014-06-12,lHBrSsDUzcc,0
267,2014-06-12,V2AaNwpG1Xg,0
268,2014-06-12,QiKSSMz3Tp0,0
269,2014-06-11,qgSPeAFb0fY,1
270,2014-06-10,ppi_4liNMfg,0
271,2014-06-05,1wW7XVHWvDY,1
272,2014-06-02,ONNtAupW38Y,1
273,2014-06-02,P9WeckSyTF0,1
274,2014-06-02,aAXRM4MDyIc,0
275,2014-06-02,hHcrQQOeIfw,1
276,2014-06-02,G9rFHoZOj30,1
277,2014-06-01,EFoJ6coogvY,1
278,2014-06-01,FEa6Ta7S8mE,1
279,2014-06-01,3omQe8xOuRs,1
280,2014-06-01,t42u0Oh5O-U,1
281,2014-06-01,SdUBL1AX8IA,1
282,2014-05-26,prP7hBERud4,1
283,2014-05-22,5wnyFqSUEqo,0
284,2014-05-16,O6EOXFgTcuw,0
285,2014-05-16,OBOlwYRT05U,0
286,2014-05-15,kuFE1zCrEio,1
287,2014-05-15,8f0jAsIRbeI,0
288,2014-05-15,CwjKRXnwP1k,0
289,2014-05-13,HwIwdfjSTek,1
290,2014-05-06,ajO65jM8C-I,0
291,2014-04-30,BQ-aTFCUOj8,0
292,2014-04-30,dY2a9Ahc4nE,1
293,2014-04-28,FHEnZJJtLRw,1
294,2014-04-25,VAzqwR8_MHI,0
295,2014-04-23,LFC-rMaseY0,0
296,2014-04-02,hHTSzAWmenE,0
297,2014-03-28,LRMViLy2jo4,0
298,2014-03-27,WdZ--cEEdBE,1
299,2014-03-21,jYNFflkIur8,1
300,2014-03-21,2QN-dZneZLY,1
301,2014-03-18,YeuEsWhrrZk,0
302,2014-03-12,DzsQCrr25o8,0
303,2014-03-07,54FJ_Cmcv_Q,1
304,2014-03-05,QfSeod8Yvrs,0
305,2014-03-05,WBDGu-LLCyA,0
306,2014-03-04,rfSEqOjltgs,0
307,2014-03-04,GGZ1lJAZXWc,0
308,2014-02-27,S1KpJ3GbBfY,1
309,2014-02-27,DvH2S18AqUI,1
310,2014-02-25,P9cw5EufFn0,0
311,2014-02-16,OQb8cv2ZT-c,0
312,2014-02-16,FHRLKLfBuh4,0
313,2014-02-14,Ia31te5Tn1o,0
314,2014-02-07,4dwh4EMdaeI,0
315,2014-02-07,LSrJAEjML-k,0
316,2014-02-05,gW5laMVuW0w,0
317,2014-01-31,xgqqBmYULS8,0
318,2014-01-31,2mJfHb0Vsec,0
319,2014-01-29,DVD6IvvVuc0,0
320,2014-01-24,n0CAkFukrkc,0
321,2014-01-24,26qXkMCbAuo,1
322,2014-01-23,5BrQAmn-FBE,0
323,2014-01-20,BvU6xO4XLfg,0
324,2014-01-20,Hk1ZttEzuAM,0
325,2014-01-01,tQFgfbKLpEs,0
326,2013-12-13,AXam5095e2w,1
327,2013-12-13,zShGwKpZmg8,0
328,2013-11-27,j3jIF-tpDCA,0
329,2013-11-25,FSIAWWAh49U,0
330,2013-11-21,PPrX5PyP54A,1
331,2013-11-19,8kRUCkmLL8Q,0
332,2013-11-14,OW3pMscYPJ4,0
333,2013-10-20,5v5eZIrVkp0,0
334,2013-10-18,I7llsOtFh2Y,0
335,2013-10-11,XIihxDQbIQc,0
336,2013-10-07,reOUbzaRPHo,0
337,2013-10-07,du5elA9Gbnc,0
338,2013-09-23,kTMVNLbOAvA,1
339,2013-09-23,S5qwU7we4NI,1
340,2013-09-19,vjQxkH9i1DA,0
341,2013-09-13,AVM04ip8m2g,0
342,2013-09-13,omGngWxh-Vw,0
343,2013-09-05,QHcsFM7Lyr4,0
344,2013-09-04,HB9LVw0SurU,0
345,2013-08-29,i_h_-0o5hQI,0
346,2013-08-29,OHZ00NLTCgY,0
347,2013-08-29,PAOU_9HMdKo,0
348,2013-08-29,ji_mMzgCd2Q,0
349,2013-08-29,Yfs9vLFy9gI,0
350,2013-07-05,2YRYx6Z1IRI,1
351,2013-07-03,u1aCIC7Lwf4,1
352,2013-06-28,nrc1CQs6Ccg,1
353,2013-06-21,H5Gni_WJ0AE,0
354,2013-06-17,dRACuz7cPek,0
355,2013-06-17,4ToMBA3OzN0,0
356,2013-06-17,d-kPznsKY8s,0
357,2013-06-17,ncA2ejZn0GE,0
358,2013-06-17,uiW_1QNFLxs,0
359,2013-06-17,0JvORyr7IDI,1
360,2013-06-13,onplmBj1XKU,1
361,2013-06-11,TMcklaeieAk,1
362,2013-06-11,JOU0yRnUEl0,1
363,2013-06-11,5qg2FHZhwkY,1
364,2013-06-03,WsNzwtZjavw,1
365,2013-05-29,J-zLnnzB2-0,0
366,2013-05-29,QBmI_psvFSk,0
367,2013-05-29,Al5i920yZTs,0
368,2013-05-29,XPqsrdcatsM,0
369,2013-05-29,1hrljx_EEu0,0
370,2013-05-29,kQ9BElMAf_0,0
371,2013-05-29,QivvijzCuGI,0
372,2013-05-29,SOk-e6GKT48,0
373,2013-05-29,WOK1F_l0Atw,0
374,2013-05-29,fV7zHj7fQCk,0
375,2013-05-29,-UtqTjph5IY,0
376,2013-05-07,6qmM4M6fBKY,0
377,2013-04-16,CDz5su0Qhog,0
378,2013-04-16,-EAPqKp5d8g,0
379,2013-04-05,sEnTbVezUU4,0
380,2013-03-21,jeOE1rektzA,0
381,2013-03-18,KWh-BrzeNqQ,1
382,2013-03-18,nE2MkMIghgk,1
383,2013-03-11,6ZoPxcOwdas,0
384,2013-03-11,hgfnAevs7Hw,0
385,2013-02-21,unFq_psdvz8,0
386,2013-02-21,gTjz1PaXEaE,0
387,2013-02-21,vkyOhau7dSw,1
388,2013-02-15,d4HoyNmv43Y,0
389,2013-02-07,ufoY-C9z37s,0
390,2013-01-30,BsnyHhzDySI,1
391,2013-01-15,xVTf92lpZnQ,1
392,2013-01-07,lnYX6PHKagA,0
393,2013-01-07,zLYYCPQL0gI,0
394,2012-12-13,xFGJ7eTY7Ko,0
395,2012-11-06,M4rXmmFITLw,0
396,2012-11-06,ezNizVVsq9E,0
397,2012-11-06,3JPtaWQmebs,0
398,2012-11-06,H64O-DPnbbU,0
399,2012-11-06,VvBEjvhujng,0
400,2012-11-06,rY2IPRkRlzA,0
401,2012-11-06,LMFT0TtMtKk,0
402,2012-11-05,WJG-gB-yEbw,0
403,2012-10-17,dDAkZ99xZx0,0
404,2012-10-12,A9F1FNxQn5I,1
405,2012-10-12,lrWNu98gRuE,0
406,2012-10-12,LOPNsfUCpkY,1
407,2012-10-12,bsMRf_5ROB0,1
408,2012-10-12,SiWJ-51dgEQ,1
409,2012-10-12,QoBByNdIRls,0
410,2012-10-12,UbsyDLYh9bg,1
411,2012-10-12,YV1jxF7wU3Q,1
412,2012-10-12,aas3zn3m8t8,0
413,2012-10-12,OkVZ241abhk,0
414,2012-10-11,XmAOzRQ1qpI,1
415,2012-10-11,cn6UErMJIGc,1
416,2012-09-25,fTJFMQfjPjs,0
417,2012-08-22,P3JZ74wZM98,0
418,2012-08-22,RzVNIEy63Zg,0
419,2012-08-22,PZsxtrm4cd4,0
420,2012-08-13,U8FO3rP6By8,0
421,2012-08-10,ekRs-Byk8hk,0
422,2012-08-10,rHeFwumPyi8,0
423,2012-08-10,pcPIr_juK5c,0
424,2012-08-10,rKD8ux8tvsQ,0
425,2012-08-10,O2AmOEgzzlE,0
426,2012-07-31,XLqM0Iwxbqo,0
427,2012-07-09,7IGgzd79_wk,0
428,2012-07-09,6qIvLUgHvak,1
429,2012-07-09,PDSZ6VxJ0fo,1
430,2012-07-09,0BIQt8z6J2w,0
431,2012-07-09,vH1PTqDH9wY,0
432,2012-07-09,PuGeqLXcKYc,0
433,2012-07-09,LgqqV4Ll3vA,0
434,2012-07-09,nScqjsQfhvw,0
435,2012-07-09,AqxwOIj6pSk,0
436,2012-07-09,mezg_wOy3tU,0
437,2012-07-09,26nr-be8F_4,0
438,2012-07-09,E64kSFLtjGU,0
439,2012-07-09,aALhOYxSTFI,0
440,2012-07-09,bI757opeYoI,0
441,2012-07-09,WpdK-xSyZ6A,0
442,2012-07-09,DQWpDKkznTU,0
443,2012-04-10,Gqpk1hw71kg,1
444,2012-03-20,ZEshWrq6cHM,0
445,2012-03-01,wnjZ0ZvmrgA,1
446,2012-02-17,1zzSdkCLRng,1
447,2012-01-19,ZxyryjeEV7M,0
448,2011-12-22,Whg1ciQI4sQ,0
449,2011-12-09,JUFIxVHbsM0,0
450,2011-12-09,pAuP1NNXkRA,0
451,2011-12-09,vSDaKuSYM2g,0
452,2011-12-09,l3pZ_MErY9Q,0
453,1969-12-31,POpG2TmGcyg,0
454,2011-10-11,2SAv1tm9Mjc,0
455,2011-08-31,liY4gSIEmlY,0
456,2011-08-30,NUsc4TF4qfs,0
457,2011-08-22,zBI4zDELuO0,0
458,2011-07-07,x2McgGX5J3E,0
459,2011-06-24,hxygdgUDa0M,0
460,2011-05-23,Vqvhq0flLU8,0
461,2011-05-13,zys24ktA-bA,0
462,2011-05-04,oYwUxXq1V7k,1
463,2011-05-04,54tEn5N-vGI,1
464,2011-04-15,b3pzwHyHrOE,1
465,2011-04-13,tf18JKzWQFE,1
466,2011-04-12,obBTqIbaskg,0
467,2011-04-12,SqBhkR6_f7E,0
468,2011-03-31,NC6A1FzaW1g,0
469,2011-03-28,OZ0lC24WS70,0
470,2011-03-28,wNMSX_V-Ynk,0
471,2011-03-18,8_tVqWR_j3U,0
472,2011-03-14,b0-Fr3-uS6s,0
473,2011-02-14,B0B8Ym3IE18,0
474,2011-01-10,PNlsrDYWBF4,0
475,2011-01-10,a17zIC_NsY4,0
476,2011-01-06,xXxAHyFliec,0
477,2011-01-06,l9LHsfuTLdc,0
478,2011-01-06,s1RItMSvbQA,0
479,2010-12-02,j5BO4rJ_jf0,0
480,2010-12-02,0wgPC__jqBY,0
481,2010-11-26,nv1pjRm1Fjw,0
482,2010-11-26,VKFim6ojeeg,0
483,2010-11-26,g81wLEwiMoc,0
484,2010-11-26,aAlEQ_80yNg,0
485,2010-11-26,YXYy0Jx3GYw,0
486,2010-11-15,fmro-gD5-9Q,0
487,2010-10-26,eRCsivpyEV0,0
488,2010-04-14,chcsDBJNm1M,0
489,2010-04-14,vduvftv8kzg,0
490,2010-04-10,h1iFi_Pfudk,0
491,2010-04-10,qtwaUue6cOk,0
492,2010-04-10,s-E67kQ3_ug,0
493,2010-04-10,LyfE7_BN5vY,0
494,2010-01-27,Ih_6jhqjY-s,0
495,2010-01-18,KJfj5_DxQG0,0
496,2010-01-12,st1rmQcHhIo,0
497,2010-01-12,VO5_yjfRL9E,0
498,2010-01-06,RqQMrz08_UA,0
499,2010-01-06,DFEATgs_ma8,0
500,2009-12-18,4a6qSZtkmro,0
501,2009-12-15,WrO4S4lkMtU,0
502,2009-12-15,Gs7luD2_xgM,0
503,2009-12-08,kEKPFfU4s_8,0
504,2009-12-08,01kbdRgfNBA,0
505,2009-12-08,-DIYYfDsVRY,0
506,2009-11-30,QmDi95CwcuY,0
507,2009-11-30,wyTvQuaKww4,0
508,2009-11-30,kxY53Y3Bv78,0
509,2009-11-25,0G3YFKg7Xhk,0
510,2009-11-25,Pcn5Lbxtp0Y,0
511,2009-11-25,3bIVrAIg0zo,0
512,2009-11-25,Ps50n_yGcac,0
513,2009-11-25,6LBK5EfddJA,0
514,2009-11-25,9YHg1oRdMhI,0
515,2009-11-25,nOq_8TTMbas,0
516,2009-11-25,E5SLM3AVURY,0
517,2009-11-25,ZOp54VQx8vM,0
518,2009-11-25,uY9pU9Eg4CM,0
519,2009-11-24,1iddUtoxFAs,0
520,2009-11-16,mOrhk12gYL0,0
521,2009-09-03,bs5hytmjdCA,0
522,2009-09-03,YRiI2cKe_2Y,0
523,2009-09-03,kyS_KG1LKig,0
524,2009-09-03,Ry-xhV8alUQ,0
